8,d8,14101017,P4-D,F,11/6/2015,P,26,137,32,16,12.4,1103,9/4/2025,*END*
9,d9,14101018,P4-D,F,15/3/2015,P,21,152,39,14,11.2,1220,9/4/2025,*END*
10,d10,14101019,P4-D,F,5/8/2015,P,23,151,39,26,11.8,914,9/4/2025,*END*
11,d11,14101020,P4-D,F,24/12/2015,P,32,159,28,34,11.1,1005,9/4/2025,*END*
12,d12,14101021,P4-D,F,19/12/2014,P,14,135,42,6,13.5,1400,9/4/2025,*END*
13,d13,14101022,P4-D,F,28/1/2015,P,20,138,34,15,12,1150,9/4/2025,*END*
14,d14,14101023,P4-D,F,14/5/2015,P,12,125,32,11,13.4,1231,9/4/2025,*END*
15,d15,14101024,P4-D,F,24/12/2015,P,22,120,32,12,13.1,1229,9/4/2025,*END*
16,d16,14101025,P4-D,F,14/2/2015,P,24,154,42,18,10.8,907,9/4/2025,*END*
17,d17,14101026,P4-D,F,29/5/2015,P,23,154,33,11,12.2,1142,9/4/2025,*END*
18,d18,14101027,P4-D,F,14/2/2015,P,3,104,28,7,13.2,1153,9/4/2025,*END*
19,d19,14101028,P4-D,F,17/2/2015,P,15,119,32,6,13.1,1438,9/4/2025,*END*
20,d20,14101029,P4-D,F,28/1/2015,P,20,143,44,5,12,947,9/4/2025,*END*
21,d21,14101030,P4-D,F,25/3/2015,P,23,140,35,13,12.2,1214,9/4/2025,*END*
22,d22,14101031,P4-D,F,12/11/2015,P,30,165,34,20,12.4,1130,9/4/2025,*END*
23,d23,14101032,P4-D,M,10/4/2015,P,16,133,31,11,12.2,1044,9/4/2025,*END*
24,d24,14101033,P4-D,M,24/1/2015,P,24,152,35,9,12.6,940,9/4/2025,*END*
25,d25,14101034,P4-D,M,31/3/2015,P,28,152,28,16,10.9,820,9/4/2025,*END*
26,d26,14101035,P4-D,M,2/10/2015,P,20,138,31,6,13.4,1250,9/4/2025,*END*
27,d27,14101036,P4-D,M,27/3/2015,P,30,137,30,17,12.2,1203,9/4/2025,*END*
28,d28,14101037,P4-D,M,20/9/2015,P,25,151,31,17,11.3,822,9/4/2025,*END*
29,d29,14101038,P4-D,M,23/4/2015,P,30,148,29,15,11.6,800,9/4/2025,*END*
30,d30,14101039,P4-D,M,4/10/2015,P,20,132,26,12,12.7,1328,9/4/2025,*END*
31,d31,14101040,P4-D,M,30/6/2015,P,33,181,25,27,11.2,854,9/4/2025,*END*
32,d32,14101041,P4-D,M,15/11/2015,P,26,130,32,3,12.7,1316,9/4/2025,*END*
33,d33,14101042,P4-D,M,2/1/2015,P,20,153,25,21,11.9,1011,9/4/2025,*END*
34,d34,14101043,P4-D,M,20/4/2015,P,27,154,34,15,11.7,1135,9/4/2025,*END*
35,d35,14101044,P4-D,M,22/5/2015,P,23,143,30,13,11.8,1016,9/4/2025,*END*
36,d36,14101045,P4-D,M,22/5/2015,P,34,134,28,30,11.2,949,9/4/2025,*END*
37,d37,14101046,P4-D,M,12/2/2015,P,28,153,34,23,11.2,1048,9/4/2025,*END*
38,d38,14101047,P4-D,M,27/3/2015,P,22,157,33,25,11.6,934,9/4/2025,*END*
39,d39,14101048,P4-D,M,12/8/2015,P,27,145,27,22,11.1,851,9/4/2025,*END*
40,d40,14101049,P4-D,M,8/9/2015,P,29,150,29,18,12.4,1205,9/4/2025,*END*
41,d41,14101050,P4-D,M,5/8/2015,P,36,142,28,36,13,1016,23/4/2025,*END*
